vessel,group,r_mm,n,measured_HU70,truth_HU70,measured_HU150,truth_HU150,sd_HU70
lcx,healthy,4.20703125,1451,-27.12716050118434,-20.50247319836121,-12.61328574232526,-8.881930447769776,53.76777277440181
lcx,healthy,4.55859375,1441,-19.821391927873318,-12.49003252183344,-7.434996503661855,-2.511644743219513,54.07159722493493
lcx,healthy,4.91015625,1436,-12.205078079009787,-4.28998148770363,-1.5987722490574323,4.010682497138766,52.93199546967039
lcx,healthy,5.26171875,1482,-6.322520466790348,2.6361661399146903,2.7759615470442855,9.517874310138827,51.44347440745303
lcx,healthy,5.61328125,1528,-0.9549720009584077,8.087988293278691,6.900799315793352,13.850806376462216,49.70151514313637
lcx,healthy,5.96484375,1566,4.236662930227331,15.121324534718008,11.15155918509872,19.442104249838252,47.05017820352622
lcx,healthy,6.31640625,1587,10.228989605604664,22.288565972588092,15.74679705260231,25.125553622505063,43.70968289449413
lcx,healthy,6.66796875,1606,16.670472366426832,27.965944824747716,20.429866803640667,29.62412450785076,39.47903673890356
lcx,healthy,7.01953125,1637,21.287939165376933,32.33544387604874,24.012910085539666,33.07617640871978,35.33750059044203
lcx,healthy,7.37109375,1688,24.44075976859478,34.83398425740712,26.52928157743967,35.04795439852977,32.7422204126982
lcx,healthy,7.72265625,1733,27.047696876099394,36.77722541838842,28.5922036501141,36.567619783139214,31.543091823524026
lcx,healthy,8.07421875,1794,28.37866743099995,38.06059559822193,29.685775246840787,37.55224001067617,31.83260155858772
lcx,healthy,8.42578125,1851,28.362990547746403,38.21559328279082,29.7437768959149,37.463971068128735,37.766695782217
lcx,healthy,8.77734375,1939,21.677678481028707,30.835909505431793,23.187160404211717,29.840756032465617,67.89165587236968
